StudyVersion,SubjID,DataID,QuestionNum,PlayerColor,Question,Response,Notes,What is being coded,Code Response
pilot Zoom (2021),15,visitor-ylghs,1,red,Which one of these do you think is a trick? ,The blue one. I don't know. Just kinda. I don't even know. I don't really know how to explain it. It's kinda just like that that one has all the same colors. ,NA,All one color vs Half,All one color
pilot Zoom (2021),15,visitor-ylghs,1,red,Why do you think this one is a trick?,The blue one. I don't know. Just kinda. I don't even know. I don't really know how to explain it. It's kinda just like that that one has all the same colors. ,NA,Plausibility? Y vs N,N*
pilot Zoom (2021),15,visitor-ylghs,1,red,Why do you think this one is a trick?,The blue one. I don't know. Just kinda. I don't even know. I don't really know how to explain it. It's kinda just like that that one has all the same colors. ,NA,My points? Y vs N,N
pilot Zoom (2021),15,visitor-ylghs,1,red,Why do you think this one is a trick?,The blue one. I don't know. Just kinda. I don't even know. I don't really know how to explain it. It's kinda just like that that one has all the same colors. ,NA,Opponent’s points? Y vs N,N
pilot Zoom (2021),15,visitor-ylghs,2,red,"When you were playing the game, and you saw 0 red marbles what would you tell the other player? ",The fullest one. The fifth one. I don't know right now. I mean the full one on the side ,NA,0 to 6 marbles for themselves,6*
pilot Zoom (2021),15,visitor-ylghs,2,red,Why would you say that?,The fullest one. The fifth one. I don't know right now. I mean the full one on the side ,NA,Plausibility? Y vs N,N
pilot Zoom (2021),15,visitor-ylghs,2,red,Why would you say that?,The fullest one. The fifth one. I don't know right now. I mean the full one on the side ,NA,My points? Y vs N,N
pilot Zoom (2021),15,visitor-ylghs,2,red,Why would you say that?,The fullest one. The fifth one. I don't know right now. I mean the full one on the side ,NA,Opponent’s points? Y vs N,N
pilot Zoom (2021),15,visitor-ylghs,2,red,Why would you say that?,The fullest one. The fifth one. I don't know right now. I mean the full one on the side ,NA,Tricking for the sake of it (not paying attention to points)? Y vs N,N
pilot Zoom (2021),15,visitor-ylghs,3,red,"If you wanted to trick the other player, what would you do? ",The one with 2 reds and 4 blues.,NA,0 to 6 marbles for themselve,2
pilot Zoom (2021),15,visitor-ylghs,4,red,"If you wanted to be nice to the other player, what would you do? ",Do a middle one. ,NA,0 to 6 marbles for themselves,3
pilot Zoom (2021),16,n/a,1,blue,Which one of these do you think is a trick ? ,All the red ones. They are just trying to get all the points for the red ones. ,NA,All one color vs Half,All one color 
pilot Zoom (2021),16,n/a,1,blue,Why do you think that is a trick?,All the red ones. They are just trying to get all the points for the red ones. ,NA,Plausibility? Y vs N,N
pilot Zoom (2021),16,n/a,1,blue,Why do you think that is a trick?,All the red ones. They are just trying to get all the points for the red ones. ,NA,My points? Y vs N,N*
pilot Zoom (2021),16,n/a,1,blue,Why do you think that is a trick?,All the red ones. They are just trying to get all the points for the red ones. ,NA,Opponent’s points? Y vs ,Y
pilot Zoom (2021),16,n/a,2,blue,"When you were playing the game, and you saw 0 red marbles what would you tell the other player? ",I would tell the other player 2 blue and 4 red. I don't want to tell them the red ones so I just make it a little bit more blue ones,NA,0 to 6 marbles for themselves,2
pilot Zoom (2021),16,n/a,2,blue,Why would you say that? ,I would tell the other player 2 blue and 4 red. I don't want to tell them the red ones so I just make it a little bit more blue ones,NA,Plausibility? Y vs N,N*
pilot Zoom (2021),16,n/a,2,blue,Why would you say that? ,I would tell the other player 2 blue and 4 red. I don't want to tell them the red ones so I just make it a little bit more blue ones,NA,My points? Y vs N,N 
pilot Zoom (2021),16,n/a,2,blue,Why would you say that? ,I would tell the other player 2 blue and 4 red. I don't want to tell them the red ones so I just make it a little bit more blue ones,NA,Opponent’s points? Y vs N,N
pilot Zoom (2021),16,n/a,2,blue,Why would you say that? ,I would tell the other player 2 blue and 4 red. I don't want to tell them the red ones so I just make it a little bit more blue ones,NA,Tricking for the sake of it (not paying attention to points)? Y vs N,Y*
