"","StudyVersion","SubjID","DataID","QuestionNum","PlayerColor","Question","Response","CodeQ","CodeQNum","DW","JT","Notes","DW.maybe"
"1","pilot Zoom (2021)",15,"visitor-ylghs",1,"red","Which one of these do you think is a trick?","The blue one. I don't know. Just kinda. I don't even know. I don't really know how to explain it. It's kinda just like that that one has all the same colors.","All one color vs Half","1a","all one color","all one color",NA,FALSE
"2","pilot Zoom (2021)",15,"visitor-ylghs",1,"red","Why do you think this one is a trick?","The blue one. I don't know. Just kinda. I don't even know. I don't really know how to explain it. It's kinda just like that that one has all the same colors.","My points? Y vs N","1c","n","n",NA,FALSE
"3","pilot Zoom (2021)",15,"visitor-ylghs",1,"red","Why do you think this one is a trick?","The blue one. I don't know. Just kinda. I don't even know. I don't really know how to explain it. It's kinda just like that that one has all the same colors.","Opponent’s points? Y vs N","1d","n","n",NA,FALSE
"4","pilot Zoom (2021)",15,"visitor-ylghs",1,"red","Why do you think this one is a trick?","The blue one. I don't know. Just kinda. I don't even know. I don't really know how to explain it. It's kinda just like that that one has all the same colors.","Plausibility? Y vs N","1b","n","y",NA,TRUE
"5","pilot Zoom (2021)",15,"visitor-ylghs",2,"red","When you were playing the game, and you saw 0 red marbles what would you tell the other player?","The fullest one. The fifth one. I don't know right now. I mean the full one on the side","0 to 6 marbles for themselves","2a","6","6",NA,TRUE
"6","pilot Zoom (2021)",15,"visitor-ylghs",2,"red","Why would you say that?","The fullest one. The fifth one. I don't know right now. I mean the full one on the side","My points? Y vs N","2c","n","n",NA,FALSE
"7","pilot Zoom (2021)",15,"visitor-ylghs",2,"red","Why would you say that?","The fullest one. The fifth one. I don't know right now. I mean the full one on the side","Opponent’s points? Y vs N","2d","n","n",NA,FALSE
"8","pilot Zoom (2021)",15,"visitor-ylghs",2,"red","Why would you say that?","The fullest one. The fifth one. I don't know right now. I mean the full one on the side","Plausibility? Y vs N","2b","n","n",NA,FALSE
"9","pilot Zoom (2021)",15,"visitor-ylghs",2,"red","Why would you say that?","The fullest one. The fifth one. I don't know right now. I mean the full one on the side","Tricking for the sake of it (not paying attention to points)? Y vs N","2e","n","y",NA,FALSE
"10","pilot Zoom (2021)",15,"visitor-ylghs",3,"red","If you wanted to trick the other player, what would you do?","The one with 2 reds and 4 blues.","0 to 6 marbles for themselves","3","2","2",NA,FALSE
"11","pilot Zoom (2021)",15,"visitor-ylghs",4,"red","If you wanted to be nice to the other player, what would you do?","Do a middle one.","0 to 6 marbles for themselves","4","3","3",NA,FALSE
